职校	職校	zhi2xiao4	vocational school
赞美	讚美	zan4mei3	admire; applause; to praise
亲和力	親和力	qin1he2li4	warmth; approachability; (chemistry) affinity
笑容	笑容	xiao4rong2	smile; smiling expression
此	此	ci3	this; these
秘诀	秘訣	mi4jue2	secret (of success)
拉近距离	拉近距離	la1jin4 ju4li2	to reduce the (social) distance between two people
传授	傳授	chuan2shou4	impart; pass on; teach
独门	獨門	du2men2	unique to one person or family; a gate which allows passage to only one household
人际	人際	ren2ji4	interpersonal; human relationships
销售	銷售	xiao1shou4	to sell; to market; sales
畅销	暢銷	chang4xiao1	best seller; chart-topping; marketable
谦称	謙稱	qian1cheng1	modest appellation/self-deprecatory appellation
保持	保持	bao3chi2	keep; maintain; preserve
哲学	哲學	zhe2xue2	philosophy
踏出	踏出	ta4chu1	stride forward
悦耳	悅耳	yue4'er3	pleasing to the ear; sweet-sounding; harmonious
热忱	熱忱	re4chen2	ardor; enthusiasm; zeal
不妨	不妨	bu4fang2	there is no harm in; might as well
好比	好比	hao3bi3	be just like; can be compared to
告别	告別	gao4bie2	say goodbye; take leave
记住	記住	ji4zhu5	remember; memorize
对方	對方	dui4fang1	counterpart; the other party involved
宴会	宴會	yan4hui4	banquet; feast; dinner party
自顾自地	自顧自地	zi4gu4zi4de5	Each minding his own business
讲	講	jiang3	speak; lecture; explain; a speech
整整	整整	zheng3zheng3	whole; full; exactly
插嘴	插嘴	cha1zui3	interrupt (sb. talking); butt in; cut into a conversation
以至于	以至於	yi3zhi4yu2	up to; to such an extent; so as to
同桌	同桌	tong2zhuo1	deskmate
外	外	wai4	outer; outside; in addition; foreign
高度	高度	gao1du4	height; altitude; high degree; apogee
仰赖	仰賴	yang3lai4	to rely on
衰败	衰敗	shuai1bai4	to decline; to wane; be at a low ebb
保有	保有	bao3you3	keep; retain; be entitled to
创新	創新	chuang4xin1	innovate; innovation
低价	低價	di1jia4	low price
倾销	傾銷	qing1xiao1	to dump (goods or products); to sell goods at a very low price
消灭	消滅	xiao1mie4	eliminate; perish; wipe out
俄国	俄國	E2guo2	Russia
巴西	巴西	Ba1xi1	Brazil
非洲	非洲	Fei1zhou1	Africa
拉丁美洲	拉丁美洲	La1ding1 Mei3zhou1	Latin America
游艇	遊艇	you2ting3	yacht
五金	五金	wu3jin1	the fival metals (in traditional Chinese classification: gold, silver, copper, iron, tin)
达人	達人	da2ren2	intelligent, well-informed person; sage; person who takes everything philosophically
代言人	代言人	dai4yan2ren2	spokesperson
称为	稱為	cheng1wei2	be called; call sth. (by a name); name (sth.)
精品	精品	jing1pin3	quality/premium goods
子弟	子弟	zi3di4	children; the younger generation
唯	唯	wei2, wei3	only; alone; ponder; (expressing acceptance of a request or command)
高工	高工	gao1gong1	vocational high school
黑手	黑手	hei1shou3	stained hands (refering to an evil or immoral action); (Tw) mechanic; blue-collar worker
起家	起家	qi3jia1	build up; make one's fortune
奋斗史	奮鬥史	fen4dou4shi3	work hard, struggle
营业额	營業額	ying2ye4'e2	volume of business; turnover
教部	教部	jiao4bu4	Ministry of Education
曾信哲	曾信哲	zeng1xin4zhe2	Mark Tseng, chairman of ARITEX, specializes in the manufacturing of hardware accessories for luxury yachts
屏东	屏東	Ping2dong1	Pingtung (a city in southern Taiwan)
九如	九如	jiu3ru2	Jiuru
洞察	洞察	dong4cha2	see clearly; have insight into
锲而不舍	鍥而不捨	qie4'er2bu4she3	keep on chipping (idiom)-- work with perseverance; keep one's nose to the grindstone; make steady efforts; stick to sth. with persistence
专精	專精	zhuan1jing1	to specialize
开创	開創	kai1chuang4	to initiate; to start; to begin; to found
契机	契機	qi4ji1	juncture; turning point; moment
未必	未必	wei4bi4	not necessarily; need not
出发	出發	chu1fa1	start out; set off
特殊	特殊	te4shu1	special; particular; extraordinary; exceptional; unusual; peculiar
群	群	qun2	crowd; group; (mw for groups, flocks, or swarms)
突发奇想	突發奇想	tu1fa1qi2xiang3	suddenly think of something strange
原理	原理	yuan2li3	principle; theory
医师	醫師	yi1shi1	doctor
配	配	pei4	marry; to mate; to blend; deserve; replace; match
眼镜	眼鏡	yan3jing4	glasses; spectacles
相对	相對	xiang1dui4	opposite; facing; relatively; to oppose
穷困	窮困	qiong2kun4	destitute; wretched poverty
任务	任務	ren4wu5	a mission; assignment; a task
估计	估計	gu1ji4	estimate, think; assume, suppose; seems like
发明	發明	fa1ming2	invent; invention
自行	自行	zi4xing2	do by oneself; voluntary; autonomous
境地	境地	jing4di4	circumstances; condition; state
孤立	孤立	gu1li4	isolate; isolated
赛事	賽事	sai4shi4	competition; contest
岛屿	島嶼	dao3yu3	island; islands
四处	四處	si4chu4	all around; all over the place; everywhere and all directions
拼音	拼音	pin1yin1	≪Pinyin≫ (the romanized transcription of Mainland China for Chinese); spell phonetically; phonetic transcription
错误百出	錯誤百出	cuo4wu5 bai3chu1	full of mistakes
精良	精良	jing1liang2	excellent; of the best quality
前来	前來	qian2lai2	to come (formal); before; previously
版本	版本	ban3ben3	edition
源源不绝	源源不絕	yuan2yuan2bu4jue2	flow continuously without stopping; a stream
访客	訪客	fang3ke4	visitor
人文	人文	ren2wen2	humanities; human affairs
景观	景觀	jing3guan1	scene; scenery
底蕴	底蘊	di3yun4	the true details; (written) the reality beneath the surface; inside information
深厚	深厚	shen1hou4	deep; profound; solid
步调	步調	bu4diao4	pace; gait; step
家传	家傳	jia1chuan2	handed down in a family; family traditions
勤读	勤讀	qin2du2	to study hard
书籍	書籍	shu1ji2	books; works
知晓	知曉	zhi1xiao3	know; be aware of; understand
勤奋	勤奮	qin2fen4	hardworking; diligent; industrious
驾驭	駕馭	jia4yu4	drive (a cart, horse, etc); control; master
重点	重點	zhong4dian3	emphasis; main point
磨损	磨損	mo2sun3	wear out; wear and tear
搅碎	攪碎	jiao3sui4	to smash
翻	翻	fan1	turn over; capsize; translate
字典	字典	zi4dian3	character dictionary
脑子	腦子	nao3zi5	brain; brains; mind
区块	區塊	qu1kuai4	block
自大	自大	zi4da4	arrogant
独白	獨白	du2bai2	stage monologue; soliloquy
上演	上演	shang4yan3	to stage (a play); to screen (a movie); perform
戏码	戲碼	xi4ma3	item (on a program)
捷克	捷克	Jie2ke4	Czech Republic
猫熊	貓熊	mao1xiong2	panda
人见人爱	人見人愛	ren2jian4ren2'ai4	loved by all; have universal appeal
征服	征服	zheng1fu2	conquer; subdue
促进	促進	cu4jin4	promote (an idea or cause); to advance
友好	友好	you3hao3	friendly (relations); close friends
使者	使者	shi3zhe3	emissary; messenger
沾染	沾染	zhan1ran3	contaminated by
色彩	色彩	se4cai3	tint; color; hue
抵制	抵制	di3zhi4	resist; to boycott; refuse (to cooperate)
繁殖	繁殖	fan2zhi2	propagate; to breed; reproduce
名义	名義	ming2yi4	name; (usu. followed by 上) nominal; titular; (do something) in (someone's) name; ostensible purpose
租借	租借	zu1jie4	leasehold
出访	出訪	chu1fang3	travel on business; visit a foreign country
风云女性	風雲女性	feng1yun2nv3xing4	woman of the year
全程	全程	quan2cheng2	the whole distance; from beginning to end
度数	度數	du4shu4	number of degrees (used in China’s system for measuring eyesight)
副	副	fu4	deputy; assistant; vice-; auxiliary; subsidiary; (mw for pairs, sets of things, facial expressions)
镜片	鏡片	jing4pian4	lens; eyeglass
充满	充滿	chong1man3	filled with; brimming with; very full
液体	液體	ye4ti3	liquid
创见	創見	chuang4jian4	originality; original idea
原始	原始	yuan2shi3	first; original; primitive
出自	出自	chu1zi4	originate from; come from; stem from
仪器	儀器	yi2qi4	apparatus; (scientific) instrument
制造商	製造商	zhi4zao4 shang1	manufacturer
矫正	矯正	jiao3zheng4	straighten; to correct
视力	視力	shi4li4	vision; eyesight
大放光明	大放光明	da4fang4guang1ming2	great release of light (idiom)
影响	影響	ying3xiang3	influence; affect; effect
开发中国家	開發中國家	kai1 fa1 zhong1 guo2 jia1	developing country 
需求量	需求量	xu1qiu2liang4	volume of demand
极	极	ji2	extremely; utmost point; extremity; pole
供不应求	供不應求	gong1bu2ying4qiu2	(saying) demand outstrips supply
贡献	貢獻	gong4xian4	contribute; dedicate; contribution
根源	根源	gen1yuan2	origin; root; source
从而	從而	cong2'er2	thus; thereby; as a result
人群	人群	ren2qun2	crowd
牛津大学	牛津大學	Niu2jin1 Da4xue2	Oxford University
乔许席尔佛	喬許席爾佛	Qiao2xu3xi2'er3fo2	Professor Joshua Silver
场所	場所	chang3suo3	location; place
照明	照明	zhao4ming2	lighting; illumination supplied by lights
习以为常	習以為常	xi2yi3wei2chang2	be accustomed or used to
电力	電力	dian4li4	electrical power; electricity
答案	答案	da2'an4	answer; solution
入夜	入夜	ru4ye4	night falls
村落	村落	cun1luo4	village; hamlet
贴补家用	貼補家用	tie1bu3jia1yong4	subsidize/help out with family expenses
煤油灯	煤油燈	mei2you2deng1	kerosene lamp
有损	有損	you3sun3	harm; damage; impair
孩童	孩童	hai2tong2	child
燃烧	燃燒	ran2shao1	combustion; burn; kindle
呼吸道	呼吸道	hu1xi1dao4	respiratory tract
单单	單單	dan1dan1	only
病症	病症	bing4zheng4	disease; illness
室内	室內	shi4nei4	indoor
照亮	照亮	zhao4liang4	illuminate
基金会	基金會	ji1jin1hui4	foundation (an organization)
接	接	jie1	receive; connect; to meet; to pick up (sb.); to answer (the phone)
动用	動用	dong4yong4	put something to use; utilize
人力	人力	ren2li4	manpower; human labor
物力	物力	wu4li4	physical resources (as opposed to labor resources)
架设	架設	jia4she4	to set up; to erect; to mount
电缆	電纜	dian4lan3	electric cable
工程	工程	gong1cheng2	engineering; engineering project
固态光源	固態光源	gu4tai4guang1yuan2	Solid State Light Source (SSL)
罚站	罰站	fa2zhan4	to punish by standing
听教	聽教	ting1jiao4	to listen (somebody's "preaching", advice, etc.), be read the riot act
似的	似的	shi4de5	seems as if; rather like
凝滞	凝滯	ning2zhi4	coagulate; no longer circulating freely; stagnant; to silt up
一吐为快	一吐為快	yi1tu3wei2kuai4	to get sth off one's chest
提问	提問	ti2wen4	to question; to quiz
黑幼龙	黑幼龍	hei1you4long2	John Hei, Taiwanese télévision producer
卡内基	卡內基	ka3nei4ji1	Carnegie
心坎	心坎	xin1kan3	bottom of one's heart
本质	本質	ben3zhi4	essence; nature; innate character
驱策	驅策	qu1ce4	to drive; to spur on
深切	深切	shen1qie4	deeply felt, sincere (emotions); thorough, penetrating (understanding)
真心	真心	zhen1xin1	sincere; heartfelt
可想而知	可想而知	ke3 xiang3 er2zhi1	you can imagine; it is obvious that
人缘	人緣	ren2yuan2	popularity; relations with people
命中	命中	ming4zhong4	to hit (a target)
成就	成就	cheng2jiu4	accomplishment; achievement; success
真切	真切	zhen1qie4	distinct; clear; vivid
性格	性格	xing4ge2	nature; disposition; temperament
爱心	愛心	ai4xin1	compassion
口香糖	口香糖	kou3xiang1tang2	chewing gum
力道	力道	li4dao4	strength; power; efficacy
发自	發自	fa1zi4	to evolve from
企图	企圖	qi3tu2	(to) attempt; try
下属	下屬	xia4shu3	subordinate; underling
责任感	責任感	ze2ren4 gan3	a sense of responsibility
随后	隨後	sui2hou4	soon after; shortly thereafter; following that
拜托	拜託	bai4tuo1	ask a favor; request; please!; give me a break!
别有居心	別有居心	bie2you3ju1xin1	have ulterior motives
适得其反	適得其反	shi4de2qi2fan3	to produce the opposite of the intended result
小看	小看	xiao3kan4	look down upon; underestimate; belittle
威力	威力	wei1li4	might; power that invokes fear
予	予	yu3, yu2	give; grant; bestow; (archaic) I; me
深刻	深刻	shen1ke4	profound; deep
互动	互動	hu4dong4	interactive; interact
定下	定下	ding4xia4	fix (up); set
赢得	贏得	ying2de2	to win; to gain
藉著	藉著	jie4zhe5	by means of
驱动力	驅動力	qu1dong4li4	driving force
威廉詹姆士	威廉詹姆士	wei1lian2zhan1mu3shi4	William James
艾森豪	艾森豪	ai4sen1hao2	Dwight D. Eisenhower
机缘	機緣	ji1yuan2	lucky chance; fortunate situation
饭店	飯店	fan4dian4	restaurant; hotel
伸	伸	shen1	to stretch; extend
名片	名片	ming2pian4	business card
正	正	zheng4, zheng1	just (right); straighten; rectify; correct; currently; at the moment; straight; pure; precisely; first lunar month
梦寐以求	夢寐以求	meng4mei4yi3qiu2	yearn for; desire of one's dreams
直觉地	直覺地	zhi2jue2de5	Intuitively
淡季	淡季	dan4ji4	off season; slow business season
吃了一惊	吃了一驚	chi1le5yi4jing1	getting a surprise
简称	簡稱	jian3cheng1	shortened form; abbreviation; to call for short
瓦	瓦	wa3, wa4	tile; earthenware; watt (Kangxi radical 98)
日光板	日光板	ri4guang1ban3	Solar panel 
蓄电	蓄電	xu4dian4	Electric power storage 
电池	電池	dian4chi2	battery
发光二极体	發光二極體	fa1guang1'er4ji2ti3	light-emitting diode (LED/WLED)
系统	系統	xi4tong3	system; device; process
安装	安裝	an1zhuang1	install; erect; to fix; to mount
群众	群眾	qun2zhong4	the masses; multitude
剥夺	剝奪	bo1duo2	deprive; expropriate
文盲	文盲	wen2mang2	illiterate
尔文哈乐戴	爾文哈樂戴	er3wen2ha1le4dai4	Dave Irvine-Halliday
卡加利大学	卡加利大學	ka3jia1li4da4xue2	University of Calgary, Canada
尼泊尔	尼泊爾	ni2bo2'er3	Nepal
喜马拉雅山群	喜馬拉雅山群	xi3ma3la1ya3shan1qun2	Himalaya Mountains, the Himalayas
前所未有	前所未有	qian2suo3wei4you3	unprecedented; unheard of
尽情	盡情	jin4qing2	as much as one likes; to one’s heart’s content
挥洒	揮灑	hui1sa3	to sprinkle (water); to shed (tears or blood); fig. free and unconstrained; to write or paint freely and easily; freestyle
舞蹈家	舞蹈家	wu3dao3jia1	dancer; terpsichorean
描述	描述	miao2shu4	describe
舞者	舞者	wu3zhe3	dancer
舞台	舞臺	wu3tai2	stage; arena
舞码	舞碼	wu3ma3	A style of dance
传人	傳人	chuan2ren2	inheritor; descendant; to pass on a legacy
芭蕾	芭蕾	ba1lei3	ballet
及格	及格	ji2ge2	pass an exam; meet minimum standard
满分	滿分	man3fen1	full marks; highest score
众所皆知	眾所皆知	zhong4 suo3 jie1 zhi1	 well known
大师	大師	da4shi1	a great master; a courtesy title used to address a Buddhist monk
特地	特地	te4di4	specially; for a special purpose
解散	解散	jie3san4	dismiss; dissolve; disband
舞团	舞團	wu3tuan2	dance troupe
邀约	邀約	yao1yue1	invite; make an appointment
培训	培訓	pei2xun4	cultivate; to train; training
无	無	wu2	have not; without; not (Kangxi radical 71)
传承	傳承	chuan2cheng2	pass on (to future generations); inherit
邀请	邀請	yao1qing3	to invite; invitation
编舞家	編舞家	bian1wu3jia1	choreographer
量身打造	量身打造	liang2shen1da3zao4	create based on someone's needs/level
舞目	舞目	wu3mu4	dance program 
首席	首席	shou3xi2	chief (representative, correspondent, etc.); chairman; seat of honor
舞星	舞星	wu3xing1	dancer; star
会	會	hui4, kuai4	can; to know how; be good at; be likely to; shall; meeting; conference; accounts
心血	心血	xin1xue4	painstaking, meticulous effort (or care); one's great pains (in doing sth.); heart and blood
化为	化為	hua4wei2	melt into
作品	作品	zuo4pin3	works (of literature and art)
规划	規劃	gui1hua4	planning; program; project
舞曲	舞曲	wu3qu3	dance music
民俗	民俗	min2su2	popular custom; folklore
生平	生平	sheng1ping2	all one's life; lifetime
直播	直播	zhi2bo1	to go live, live broadcast (not recorded); (agriculture) direct seeding
产下	產下	chan3xia4	give birth; to bear (a child)
双胞胎	雙胞胎	shuang1bao1tai1	twins
睁眼	睜眼	zheng1yan3	open the eyes
登上	登上	deng1shang4	mount; climb over; ascend onto
头条	頭條	tou2tiao2	headline; lead story (on the news)
数位化	數位化	shu4wei4hua4	digitization; digitize
追溯	追溯	zhui1su4	lit. to go upstream; to trace sth. back to; to date from
至	至	zhi4	until; to arrive; (Kangxi radical 133)
何时何地	何時何地	he2shi2he2di4	when and where
女皇	女皇	nv3huang2	empress; monarchess; queen regent
赠送	贈送	zeng4song4	give as a present
记载	記載	ji4zai3	write down; to record; written record
夫人	夫人	fu1ren5	lady; madam; Mrs.; wife
表	表	biao3	surface; a table (listing information); to show
救济	救濟	jiu4ji4	emergency relief; aid; help out in a disaster
谢意	謝意	xie4yi4	gratitude; thankfulness
自此	自此	zi4ci3	since then; henceforth
政权	政權	zheng4quan2	regime; political power; authority
欲	欲	yu4	desire; longing; wish; appetite
藉此	藉此	jie4ci3	thereby; make use of this; take advantage of this
双边	雙邊	shuang1bian1	bilateral
稀有	稀有	xi1you3	rare; unusual
饲养场	飼養場	si4yang3chang3	Feed lot, farm
分别	分別	fen1bie2	distinguish; split up; difference; to part
货币	貨幣	huo4bi4	currency; money
设	設	she4	set up; arrange; establish
互	互	hu4	mutual; reciprocally
访问	訪問	fang3wen4	visit; call on; interview
领取	領取	ling3qu3	pick up; get; receive
否决	否決	fou3jue2	to veto; vote down; overrule
因而	因而	yin1'er2	therefore; as a result; thus
作罢	作罷	zuo4ba4	drop; relinquish; give up
甜甜	甜甜	Tian2tian5	sweet
美香	美香	mei3xiang1	Mei Xiang
圆仔	圓仔	Yuan2zai3	Yuan Zai
唐朝	唐朝	Tang2chao2	Tang Dynasty
唐代	唐代	tang2dai4	Tang dynasty (618-907)
武则天	武則天	Wu3 Ze2tian1	(Chinese empress, 624 - 705) was the only woman in the history of China to assume the title of Empress Regnant (Huangdi). As de facto ruler of China first through her husband and her sons, she then broke all precedents when she founded her own dynasty in 690, the Zhou (周) (interrupting the Tang Dynasty).
天武天皇	天武天皇	tian1wu3tian1huang2	Emperor Tenmu (40th emperor of Japan)
宋美龄	宋美齡	Song4 Mei3ling2	img:http://www.internationalwoodsuppliers.com/SkritterImages/RecentHistory/soongmayling.jpg Soong May-ling  (1898–2003) youngest of the Soong sisters, prominent political leader in her own right, the wife and partner in power of the leader of the Kuomintang (KMT) , Generalissimo of the Chinese armies, and later President, Chiang Kai-shek.
中共	中共	zhong1gong4	(abbr.) Chinese Communist Party
苏联	蘇聯	Su1lian2	Soviet Union
北韩	北韓	bei3han2	North Korea
迈阿密	邁阿密	mai4'a1mi4	Miami
芝加哥	芝加哥	Zhi1jia1ge1	Chicago
国务院	國務院	guo2wu4yuan4	State Council (PRC); State Department (USA)
出租	出租	chu1zu1	to rent out
吸金	吸金	xi1jin1	money-spinning; money-making
赴	赴	fu4	go towards; go to; visit (e.g. another country); attend (a banquet, etc.)
忠诚	忠誠	zhong1cheng2	honest; loyalty; devoted
跳槽	跳槽	tiao4cao2	change to a better job; change jobs; job hopping
等候	等候	deng3hou4	wait; queue
开阔	開闊	kai1kuo4	wide; open (spaces)
转动	轉動	zhuan3dong4	to turn; rotate; turn around; swivel
共通	共通	gong4tong1	in common; universal; applicable to both or all
水果摊	水果攤	shui3guo3tan1	vendors that sell fresh produce
瓜香果艳	瓜香果豔	gua1xiang1guo3yan4	gorgeous, fragrant fruit
常客	常客	chang2ke4	frequent patron; a regular
秤	秤	cheng4, cheng1	balance; scale; steelyard
手摆脚动	手擺腳動	shou3bai3jiao3dong4	body movements/language 
身陷	身陷	shen1xian4	trapped; imprisoned
迷宫	迷宮	mi2gong1	maze; labyrinth
文法	文法	wen2fa3	grammar
浓重	濃重	nong2zhong4	dense
回复	回復	hui2fu4	respond; reply; return
焦急	焦急	jiao1ji2	anxious; worried
催熟	催熟	cui1shu2	(agriculture) accelerate ripening
急忙	急忙	ji2mang2	in a hurry; in haste; hurriedly; hastily
临时	臨時	lin2shi2	temporary; at the time; when the time comes
口译	口譯	kou3yi4	oral interpretation
达成	達成	da2 cheng2	to reach (an agreement); achieve
道谢	道謝	dao4xie4	express one's thanks
面前	面前	mian4qian2	in front of; facing
紊乱	紊亂	wen3luan4	disorderliness; confusion; chaos
错乱	錯亂	cuo4luan4	in disorder; confusion; deranged; cluttered
人家	人家	ren2jia1	other people; others; they; I; family; household
校长	校長	xiao4zhang3	(academic) president; school principal; headmaster
旅游	旅遊	lv3you2	trip; journey; tour
劳累	勞累	lao2lei4	tired; exhausted; worn out; to toil
傲慢	傲慢	ao4man4	arrogant; haughty; overbearing
皱眉	皺眉	zhou4mei2	frown; knit one's brow
标识	標識	biao1zhi4	logo; identification
国际观	國際觀	guo2ji4guan1	global perspective
接轨	接軌	jie1gui3	integrate; connect; align
身在	身在	shen1zai4	(of a person) located, to be (somewhere)
柏林	柏林	Bo2lin2	Berlin
土耳其	土耳其	Tu3'er3qi2	Turkey
眼见	眼見	yan3jian4	clearly see
心急	心急	xin1ji2	impatient; short-tempered; hurried
浪潮	浪潮	lang4chao2	fig. tide of...; wave of...; a social movement
抛	拋	pao1	to throw; to toss; to fling
淘汰	淘汰	tao2tai4	eliminate (in a competition); natural selection; die/phase out
督促	督促	du1cu4	supervise and urge sb. to complete a task
背	背	bei4, bei1	back; to carry on one's back; to have one's back to; to leave; to recite
单字	單字	dan1zi4	individual character of the Chinese language; separate word of a foreign language
倍增	倍增	bei4zeng1	double; multiply
限于	限於	xian4yu2	restrict at; limit to
辽阔	遼闊	liao2kuo4	vast; extensive
之外	之外	zhi1wai4	beyond; outside
不得不	不得不	bu4 de2 bu4	have to; have no choice but to; cannot but
硬著头皮	硬著頭皮	ying4zhe5tou2pi2	toughen one's scalp—brace oneself; force oneself to do sth. against one's will
洒落	灑落	sa3luo4	to sprinkle
刹那	剎那	cha4na4	an instant (Sanskrit: ksana); split second
感到	感到	gan3dao4	feel; to sense; have the feeling that
存在感	存在感	cun2zai4gan3	presence; sense of being
报考	報考	bao4kao3	sign up for an examination
民族舞	民族舞	min2zu2wu3	folk dance
终	終	zhong1	end; finish
上帝	上帝	Shang4di4	the Lord on High (ancient China); God (Western)
疼爱	疼愛	teng2'ai4	love dearly; be very fond of
生身不息	生身不息	sheng1shen1bu4xi1	Timeless (name of a dance performance)
许芳宜	許芳宜	xu3fang1yi2	Sheu Fang-yi, a native of Taiwan now living in New York City, was the principal dancer of the Martha Graham Dance Company.
劳勃阿特曼	勞勃阿特曼	lao2bo2'a5te4man4	Robert Altman, he was an American film director, screenwriter, and producer.
舞动世纪	舞動世紀	wu3dong4shi4ji4	The Company (name of a movie)
玛莎葛兰姆	瑪莎葛蘭姆	ma3sha1ge3lan2mu3	Martha Graham, was an American modern dancer and choreographer. Her style, the Graham technique, reshaped American dance and is still taught worldwide.
伦敦	倫敦	Lun2dun1	London
阿喀郎汗	阿喀郎汗	a1ke4lang3han4	Akram Khan, is an English dancer and choreographer of Bangladeshi descent. His background is rooted in his classical kathak training and contemporary dance.
克理斯多福惠尔敦	克理斯多福惠爾敦	Ke4li3si1duo1fu2hui4'er3dun1	Christopher Wheeldon, is an English international choreographer of contemporary ballet.
纽约市立芭蕾舞团	紐約市立芭蕾舞團	niu3yue1shi4li4ba1lei3wu3tuan2	New York City Ballet 
温蒂威伦	溫蒂威倫	wen1di4wei1lun2	Wendy Whelan
华冈艺校	華岡藝校	hua2gang1yi4xiao4	Taipei Hwa Kang Arts School
从来	從來	cong2lai2	all along; from the past till the present; always; at all times; (when followed by 没有) never
不间断	不間斷	bu2jian4duan4	uninterrupted
保送	保送	bao3song4	enter a school with the entrance exams waived; (Baseball) base on balls (BB)
扇	扇	shan1, shan4	to fan; to slap; fan; (mw for doors, windows, etc.)
贵人	貴人	gui4ren2	nobility; person of high rank
一眼	一眼	yi4yan3	glimpse; glance; quick look at
发觉	發覺	fa1jue2	find; discover; detect
才华	才華	cai2hua2	talent; genius
痛哭流涕	痛哭流涕	tong4ku1liu2ti4	weep bitterly; shed tears of anguish
辈子	輩子	bei4zi5	all one's life; lifetime
公开	公開	gong1kai1	public; make public
称赞	稱贊	cheng1zan4	to praise; to acclaim; to commend; to compliment
下定决心	下定決心	xia4ding4jue2xin1	be determined
海绵	海綿	hai3mian2	sponge
吸收	吸收	xi1shou1	absorb; ingest
只身	隻身	zhi1shen1	alone; by oneself
术科	術科	shu4ke1	vocational training course
跳舞	跳舞	tiao4 wu3	to dance
其余	其餘	qi2yu2	the others; the rest; remaining
学科	學科	xue2ke1	subject; branch of learning; course
凭	憑	ping2	rely on; lean against; evidence; proof; no matter (what or how); based on
