领域	領域	ling3yu4	domain; sphere; field; area
浮动	浮動	fu2dong4	float and drift; be unstable
政策	政策	zheng4ce4	policy
广大	廣大	guang3da4	vast; extensive
实惠	實惠	shi2hui4	tangible benefit; substantial; solid; economical
资源	資源	zi1yuan2	natural resource; resource
均衡	均衡	jun1heng2	balanced; proportionate
缓解	緩解	huan3jie3	to ease; to relieve
有利于	有利於	you3li4yu2	in favor of; favor; be beneficial to; be good for
落后地区	落後地區	luo4hou4di4qu1	underdeveloped area
能源	能源	neng2yuan2	energy resources; power source
发挥	發揮	fa1hui1	to display; to bring (skill, talent, etc.) into play; to develop (an idea)
竞争	競爭	jing4zheng1	compete; competition
出行方式	出行方式	chu1xing2fang1shi4	mode of transportation
自身	自身	zi4shen1	itself; oneself
垄断	壟斷	long3duan4	monopoly; monopolize
晚点	晚點	wan3dian3	late; behind schedule
国际合作	國際合作	guo2ji4he2zuo4	international cooperation
媒体	媒體	mei2ti3	(news) media; medium
起诉	起訴	qi3su4	sue; bring a lawsuit against
判罚	判罰	pan4fa2	penalize (sports)
赔偿	賠償	pei2chang2	compensate; pay for somebody else's loss
监控	監控	jian1kong4	to monitor
资金	資金	zi1jin1	funds; funding
差距	差距	cha1ju4	disparity; gap
畏缩	畏縮	wei4suo1	recoil; cower
损失	損失	sun3shi1	loss (financial); damage; to damage; to lose
弥补	彌補	mi2bu3	make up for a deficiency; remedy; offset
严厉	嚴厲	yan2li4	strict; severe
探讨	探討	tan4tao3	inquire into; investigate
追究	追究	zhui1jiu1	investigate; look into; find out
连带责任	連帶責任	lian2dai4ze2ren4	(law) joint liability
软实力	軟實力	ruan3shi2li4	soft power
知识产权	知識產權	zhi1shi5chan3quan2	intellectual property rights
意识	意識	yi4shi5	realize; consciousness; awareness; sense
遏制	遏制	e4zhi4	to hold back (sth. abstract); to keep within limits; to contain; to restrain; to check
高发	高發	gao1fa1	score highly in imperial exams (and obtain a post); widespread occurrence
势头	勢頭	shi4tou2	impetus; momentum; the look of the situation
取证	取證	qu3zheng4	collect evidence
假冒伪劣	假冒偽劣	jia3mao4wei3lie4	false and inferior merchandise
惩罚	懲罰	cheng2fa2	penalty; punishment; to punish; to penalize
双刃剑	雙刃劍	shuang1ren4jian4	double-edged sword; has both advantages and disadvantages
威慑力	威懾力	wei1she4li4	power; might; deterrent force; deterrent; deterrence
扼杀	扼殺	e4sha1	strangle; throttle; suppress
执法	執法	zhi2fa3	law enforcement; execute the law
电信	電信	dian4xin4	telecommunications
诈骗	詐騙	zha4pian4	defraud; swindle; blackmail
案件	案件	an4jian4	legal case; judicial case
危害	危害	wei1hai4	endanger; jeopardize; to harm
社会治安	社會治安	she4hui4 zhi4'an1	public safety
虚假	虛假	xu1jia3	false; phony; pretense; deceit
短信	短信	duan3xin4	text message; SMS
犯罪	犯罪	fan4zui4	crime; commit a crime
团伙	團伙	tuan2huo3	(criminal) gang; gang member
作案	作案	zuo4 an4	commit a crime
手法	手法	shou3fa3	technique; trick; skill; tact
骗局	騙局	pian4ju2	fraud; hoax; swindle; a shell game; a put-up job:
事主	事主	shi4zhu3	victim of a crime, e.g. robbery, mugging, etc.
信以为真	信以為真	xin4yi3wei2zhen1	accept sth. as true
转账	轉賬	zhuan3zhang4	transfer (money to a bank account)
占比	佔比	zhan4bi3	ratio; proportion
嫌疑人	嫌疑人	xian2yi2ren2	a suspect
金额	金額	jin1'e2	monetary sum; monetary value
提醒	提醒	ti2xing3	remind; call attention to; warn of
洽谈	洽談	qia4tan2	discuss; negotiate (business); to consult; to make arrangements with; to talk over with; talks; negotiations
形象	形象	xing2xiang4	image; imagery; vivid; visualization
引发	引發	yin3fa1	provoke; cause; initiate
不满	不滿	bu4man3	resentful; dissatisfied; not full
国际社会	國際社會	guo2ji4she4hui4	international society/community
负面	負面	fu4mian4	negative; the negative side
回应	回應	hui2ying4	respond; answer; greet
外交	外交	wai4jiao1	diplomacy; foreign affairs
美化	美化	mei3hua4	beautify
侵略	侵略	qin1lve4	to invade; to commit aggression against: invasion; aggression; encroachment
战争	戰爭	zhan4zheng1	war; conflict
领导人	領導人	ling3dao3ren2	leader
付诸东流	付諸東流	fu4zhu1dong1liu2	wasted effort
事件	事件	shi4jian4	event; happening; incident
反映	反映	fan3ying4	reflect; reflection; report on
发表	發表	fa1biao3	publish; to issue (a statement); announce; express one's opinion
声明	聲明	sheng1ming2	statement; declare; proclaim
盟友	盟友	meng2you3	ally
加剧	加劇	jia1ju4	aggravate; intensify; sharpen; accelerate; exacerbate
邻国	鄰國	lin2guo2	bordering country; neighbor country
紧张	緊張	jin3zhang1	nervous; strained; stressed out
关系	關係	guan1xi5	relation; connection; relationship
失望	失望	shi1wang4	disappointed; lose hope
呼吁	呼籲	hu1yu4	call on (sb. to do sth.); appeal
承认	承認	cheng2ren4	admit; concede; acknowledge; to recognize 
属于	屬於	shu3yu2	belong to; be part of
事实	事實	shi4shi2	fact
背道而驰	背道而馳	bei4dao4'er2chi2	run in the opposite direction; run counter to
其	其	qi2	his; her; its; their; he; she; it; that; such; (marking question, emphasis, imperative)
战略	戰略	zhan4lve4	strategy; strategic
负债	負債	fu4zhai4	incur debts; liability
债务	債務	zhai4wu4	debt
导致	導致	dao3zhi4	lead to; bring about; to cause
升级	升級	sheng1ji2	escalate; increase; rise; go up; to update; upgrade; promotion
消费者	消費者	xiao1fei4 zhe3	consumer
抵制	抵制	di3zhi4	resist; to boycott; refuse (to cooperate)
担忧	擔憂	dan1you1	to worry; be anxious
首先	首先	shou3xian1	first (of all); in the first place; firstly
冲击	衝擊	chong1ji1	to attack; to batter; (of waves) to pound against; shock; impact (Tw chōngjí)
东海	東海	dong1hai3	the East China Sea
主权	主權	zhu3quan2	sovereignty
政治	政治	zheng4zhi4	politics
固有领土	固有領土	gu4you3ling3tu3	inherent territory
无可争辩	無可爭辯	wu2ke3 zheng1bian4	indisputable; irrefutable
介入	介入	jie4ru4	intervene; get involved; to insert
争议	爭議	zheng1yi4	controversy; dispute; contention
均	均	jun1	equal; even; all
非法占领	非法佔領	fei1fa3zhan4ling3	illegally occupy (a territory)
存在	存在	cun2zai4	to exist; to be
分析	分析	fen1xi1	analyze; analysis
破坏性	破壞性	po4huai4xing4	destructive
大流行	大流行	da4liu2xing2	pandemic
至关重要	至關重要	zhi4guan1zhong4yao4	very important; vital; essential
新冠肺炎	新冠肺炎	xin1guan1fei4yan2	COVID-19 coronavirus (novel corona pneumonia)
人际传播	人際傳播	ren2ji4chuan2bo4	face-to-face communication
疾病	疾病	ji2bing4	disease; illness; sickness; ailment
并发症	併發症	bing4fa1zheng4	disease complications
病死率	病死率	bing4si3lv4	case fatality rate
习惯	習慣	xi2guan4	habit; usual practice; it's my habit to...; make it a habit...
抵抗力	抵抗力	di3kang4li4	resistance, immunity
潜伏期	潛伏期	qian2fu2qi1	incubation period; latency period
变异	變異	bian4yi4	variation
耐药性	耐藥性	nai4yao4xing4	tolerance
抗震	抗震	kang4zhen4	shock-resistant; anti-seismic capability
救灾	救災	jiu4zai1	provide disaster relief
恢复	恢復	hui1fu4	reinstate; resume; recover (from illness); rehabilitate
重建	重建	chong2jian4	to rebuild; to reconstruct; to reestablish; reconstruction; rebuilding
伤员	傷員	shang1yuan2	wounded person; injured
高度关注	高度關注	gao1du4guan1zhu4	high level of attention
过渡期	過渡期	guo4du4qi1	transition period
安置	安置	an1zhi4	find a place for; help settle down; arrange for
救治	救治	jiu4zhi4	treat and cure; bring a patient out of danger
物资供应	物資供應	wu4zi1gong1ying4	supply of material
基础设施	基礎設施	ji1chu3she4shi1	infrastructure
临时	臨時	lin2shi2	temporary; at the time; when the time comes
补助	補助	bu3zhu4	subsidy; allowance
落实	落實	luo4shi2	practicable; workable; fix or decide in advance; ascertain; fulfill; implement; put into effect; feel at ease
保证	保證	bao3zheng4	to guarantee; ensure; pledge; assure
干净	乾淨	gan1jing4	clean; neat and tidy
医疗服务	醫療服務	yi1liao2fu2wu4	medical/health service
全面	全面	quan2mian4	all-around; comprehensive; fully
秩序	秩序	zhi4xu4	order; social order; state (e.g., of society, of a company, etc.)
高考	高考	gao1kao3	college entrance exam
加强	加強	jia1qiang2	strengthen; reinforce; enhance
心理	心理	xin1li3	mental; psychological
安抚	安撫	an1fu3	pacify; appease; placate
防疫	防疫	fang2 yi4	disease prevention; anti-epidemic
阶段	階段	jie1duan4	stage; phase
及时	及時	ji2shi2	timely; in time; promptly; without delay
双赢	雙贏	shuang1ying2	mutually beneficial; win-win
节能减排	節能減排	jie2neng2jian3pai2	to conserve energy and reduce emissions
潜力	潛力	qian2li4	potential; capacity
严峻	嚴峻	yan2jun4	grim; severe; rigorous; harsh
雾霾	霧霾	wu4mai2	smog; haze
结构	結構	jie2gou4	structure; composition; makeup
排放	排放	pai2fang4	to discharge; drain off (gas/etc.); place (things) in proper order
项目	項目	xiang4mu4	item; project; (sports) event
轻信	輕信	qing1xin4	credulity; readily believe
来源不明	來源不明	lai2yuan2bu4ming2	from an unknown/dubious background or source
可疑	可疑	ke3yi2	suspicious
账户	賬戶	zhang4hu4	account (bank or online)
指定	指定	zhi3ding4	to appoint; to assign; designated
确实	確實	que4shi2	indeed; in truth; reliable; really
公安	公安	gong1'an1	public security
咨询	咨詢	zi1xun2	consult; counsel
成本	成本	cheng2ben3	cost (manufacturing, production, etc.)
回报	回報	hui2bao4	report back; repayment; repay; reciprocate
范围	範圍	fan4wei2	scope; range; limits; extent
防不胜防	防不勝防	fang2bu2sheng4fang2	impossible to defend well
上当	上當	shang4 dang4	be fooled; be duped; be taken in
短缺	短缺	duan3que1	shortage
防范意识	防範意識	fang2fan4 yi4shi5	sense of awareness (i.e. against crime)
透露	透露	tou4lu4	to divulge; to leak; to disclose; to reveal; to leak out
汇	匯	hui4	converge; gather; to transfer; remit money
金融	金融	jin1rong2	banking finance; financial
冻结	凍結	dong4jie2	to freeze; to congeal; (of loans, wages, prices, etc.) freeze; frozen (assets etc.)
蔓延	蔓延	man4yan2	to extend; to spread; to creep
卫生	衛生	wei4sheng1	health; hygiene; sanitation; sanitary; clean
肺炎	肺炎	fei4yan2	pneumonia; inflammation of the lungs
疫情	疫情	yi4qing2	epidemic situation
平息	平息	ping2xi1	appease; calm; pacify; settle (a dispute)
难免	難免	nan2mian3	hard to avoid; difficult to escape from
担心	擔心	dan1xin1	worry; feel anxious
致病	致病	zhi4bing4	pathogenic; cause disease
禽流感	禽流感	qin2liu2gan3	bird flu
流感	流感	liu2gan3	flu; influenza
病毒	病毒	bing4du2	virus
爆发	爆發	bao4fa1	break out; erupt; explode; burst out; eruption
死亡	死亡	si3wang2	to die; death; be dead
传染	傳染	chuan2ran3	infect; contaminate; be contagious
感染	感染	gan3ran3	infection; infect; influence
检测	檢測	jian3ce4	inspect; examine; investigation
阳性	陽性	yang2xing4	male; masculine; positive
发病	發病	fa1 bing4	onset (of a disease); outbreak
症状	症狀	zheng4zhuang4	symptom (of an illness)
迹象	跡象	ji4xiang4	mark; indication; sign
传播	傳播	chuan2bo1	propagate; transmit; to spread
截至目前	截至目前	jie2zhi4mu4qian2	up to now
疫苗	疫苗	yi4miao2	vaccine
接种	接種	jie1zhong4	vaccinate; inoculate
屏障	屏障	ping2zhang4	wall; barrier; protective screen
尽早	儘早	jin3zao3	as soon as possible
防范	防範	fang2fan4	on guard; keep a lookout
严格	嚴格	yan2ge2	strict; stringent
就医	就醫	jiu4yi1	to see a doctor
费用	費用	fei4yong4	expenses; expenditures; costs
负担	負擔	fu4dan1	to (bear a) burden; burden
看病贵看病难	看病貴看病難	kan4bing4gui4kan4bing4nan2	hard and expensive to get medical treatment
健全	健全	jian4quan2	robust; sound; perfect; strengthen; amplify
城乡居民	城鄉居民	cheng2xiang1ju1min2	urban and rural residents
基本	基本	ji1ben3	basic; fundamental
医疗	醫療	yi1liao2	medical treatment
群众	群眾	qun2zhong4	the masses; multitude
有效	有效	you3xiao4	effective; valid
价廉	價廉	jia4lian2	the price is cheap
长远	長遠	chang2yuan3	long-term; long-range
初步	初步	chu1bu4	initial; preliminary; tentative
质量	質量	zhi4liang4	quality; mass (physics)
稳步	穩步	wen3bu4	with steady steps; steadily
供应	供應	gong1ying4	to supply; provide; offer
规范	規範	gui1fan4	standards (design or model); norm; without variation; to specify
举世瞩目	舉世矚目	ju3shi4 zhu3mu4	attract worldwide attention
无法	無法	wu2fa3	unable; have no way
一蹴而就	一蹴而就	yi2cu4'er2jiu4	reach the goal in one step; accomplish at one stroke
民生	民生	min2sheng1	people's livelihood
迟迟	遲遲	chi2chi2	late (with a task etc); slow
待遇	待遇	dai4yu4	benefits; treatment; pay; wage; salary
患者	患者	huan4zhe3	sufferer; patient; the sick
处方	處方	chu3fang1	(medical) prescription
重复	重複	chong2fu4	to repeat; to duplicate
检查	檢查	jian3cha2	to check; examine; inspect
监管	監管	jian1guan3	to oversee; to keep watch on; to take charge of; to supervise; to administer; supervisory; supervision; oversight
力度	力度	li4du4	strength; vigor; dynamics (music)
刻不容缓	刻不容緩	ke4bu4rong2huan3	demand immediate action; brook no delay
侵权	侵權	qin1quan2	(law) violate/infringe the rights of; tort
盗版	盜版	dao4ban3	pirated, illegal
现象	現象	xian4xiang4	appearance; phenomenon
日趋	日趨	ri4qu1	day by day; gradually
严重	嚴重	yan2zhong4	grave; serious; critical
正当	正當	zheng4dang1	timely; just when, (dàng) proper
合法	合法	he2fa3	lawful; legitimate; legal
权益	權益	quan2yi4	rights and benefits; interests
版权	版權	ban3quan2	copyright
打击	打擊	da3ji1	strike; hit; attack; crack down on sth.; a setback; a blow; percussion (music)
维权	維權	wei2quan2	to protect rights
诉讼	訴訟	su4song4	lawsuit
威胁	威脅	wei1xie2	threaten; to menace
则	則	ze2	rule; regulation; standard; criterion; then; in that case (express contrast); mw for short, usu. formal written items
立场	立場	li4chang3	position; stand; stance
障碍	障礙	zhang4'ai4	barrier; obstacle
困难重重	困難重重	kun4nan5 chong2chong2	fraught with difficulties
金砖国家	金磚國家	jin1zhuan1guo2jia1	BRIC countries (Brazil, Russia, India and China)
会晤	會晤	hui4wu4	meet; meeting; conference
视频	視頻	shi4pin2	video
主题	主題	zhu3ti2	theme; subject; topic
安全	安全	an1quan2	safe; safety; secure; security
创新	創新	chuang4xin1	innovate; innovation
增长	增長	zeng1zhang3	grow; to increase; enrich
伙伴	伙伴	huo3ban4	partner; friend; pal
成果	成果	cheng2guo3	result; achievement; gain
支持	支持	zhi1chi2	sustain; hold out; support; stand by (e.g. international support)
援助	援助	yuan2zhu4	to help; aid
实施	實施	shi2shi1	to implement; put into effect; carry out
承诺	承諾	cheng2nuo4	to promise; undertake; make a commitment
提供	提供	ti2gong1	to supply; provide; furnish
贷款	貸款	dai4kuan3	(bank) a loan; to provide a loan
优惠	優惠	you1hui4	promotion; preferential; favorable
建设	建設	jian4she4	build; construct; construction
贸易额	貿易額	mao4yi4'e2	trade volume
贸易	貿易	mao4yi4	(commercial) trade
比例	比例	bi3li4	proportion; scale
落后	落後	luo4hou4	backward; to lag (in technology); to fall behind
物资流通	物資流通	wu4zi1liu2tong1	circulation of materials and commodities
贫困	貧困	pin2kun4	poor; impoverished
绝对贫困	絕對貧困	jue2dui4pin2kun4	absolute poverty
发展中国家	發展中國家	fa1zhan3zhong1guo2jia1	developing country
免除	免除	mian3chu2	prevent; avoid; remit
发达	發達	fa1da2	developed (country, etc.); flourishing; prosperous
气候变化	氣候變化	qi4hou4 bian4hua4	climate change
极端	極端	ji2duan1	extreme
粮食	糧食	liang2shi5	grain; food; cereals
粮食安全	糧食安全	liang2shi2'an1quan2	food safety
投资	投資	tou2zi1	investment; invest
清洁能源	清潔能源	qing1jie2 neng2yuan2	clean energy
抗	抗	kang4	resist; to fight; defy
旱	旱	han4	drought
洪	洪	hong2	flood; deluge; vast; immense
社交媒体	社交媒體	she4jiao1mei2ti3	social media
信息	信息	xin4xi1	information; news; message
平台	平臺	ping2tai2	platform; terrace
沟通	溝通	gou1tong1	link up; connect; communicate
暴力	暴力	bao4li4	violence
忧虑	憂慮	you1lv4	worry; anxiety (about); concerned
尺度	尺度	chi3du4	measure; scale
话题	話題	hua4ti2	subject (of a talk or conversation)
内容	內容	nei4rong2	content; substance; details
色情	色情	se4qing2	pornography
不文明	不文明	bu4wen2ming2	uncivilized
应对	應對	ying4dui4	to answer; to reply; response; taking measures to work positively
措施	措施	cuo4shi1	measure; step (to be taken)
制度	制度	zhi4du4	system; institution
是否	是否	shi4fou3	whether (or not); if; is or isn't
手段	手段	shou3duan4	method; means (of doing sth.)
手机	手機	shou3ji1	cellphone, mobile phone
控制	控制	kong4zhi4	to control
功能	功能	gong1neng2	function; feature
防止	防止	fang2zhi3	prevent; guard against; take precautions; forestall; avoid
下载	下載	xia4zai4	to download
软件	軟件	ruan3jian4	software (computer); application (mobile)
指导	指導	zhi3dao3	to guide; supervise; give directions
接触	接觸	jie1chu4	come into contact with; engage; contact
不良	不良	bu4liang2	bad; harmful; unhealthy
放任自流	放任自流	fang4ren4zi4liu2	let somebody do whatever they want; indulge; give free reins to
言论自由	言論自由	yan2lun4 zi4you2	freedom of speech
国情	國情	guo2qing2	the state of a nation
身份盗窃	身份盜竊	shen1fen4 dao4qie4	identity theft
资料	資料	zi1liao4	data; material; resources; information
过滤	過濾	guo4lv4	to filter; filter
审查	審查	shen3cha2	examine; investigate; censorship
防火墙	防火牆	fang2huo3qiang2	firewall
实名制	實名制	shi2ming2zhi4	system for identifying users (on a rail network, the Internet, etc.)
翻墙	翻牆	fan1qiang2	(literally) to climb over the wall; to breach the Great Firewall of China
透明化	透明化	tou4ming2hua4	transparency
渠道	渠道	qu2dao4	irrigation ditch; channel; medium of communication
批准	批准	pi1zhun3	approve; ratify
深化	深化	shen1hua4	deepen; intensify
医药	醫藥	yi1yao4	medical care and medicines; medicine (drug); medical; pharmaceutical
体制	體制	ti3zhi4	system; organization
改革	改革	gai3ge2	reform
方案	方案	fang1'an4	plan; program (for action, etc.); proposal
情绪	情緒	qing2xu4	emotion; sentiment; mood; morale
敏感	敏感	min3gan3	sensitive; susceptible
前景	前景	qian2jing3	outlook; future (prospects); foreground
理想	理想	li3xiang3	a dream; an ideal; perfection; ideal; perfect; desirable
前途	前途	qian2tu2	way forward; prospects; outlook for the future
困惑	困惑	kun4huo4	confused; perplexed; puzzled; bewildered; difficult problem
招生	招生	zhao1 sheng1	enroll new students
规模	規模	gui1mo2	scale; scope; extent; large-scale 
不断	不斷	bu2duan4	unceasing; uninterrupted; continuously; unbroken
扩大	擴大	kuo4da4	enlarge; expand
因素	因素	yin1su4	element; factor
对比	對比	dui4bi3	compare; to contrast; comparison
显著	顯著	xian3zhu4	notable; marked; outstanding; remarkable
差异	差異	cha1yi4	difference; discrepancy; divergence
叠加	疊加	die2jia1	superposition; layering; overlay
优势	優勢	you1shi4	advantage; superiority; dominant position
批判思维	批判思維	pi1pan4si1wei2	critical thinking
相对而言	相對而言	xiang1dui4'er2yan2	"it's relative" or "they are relative terms" (i.e. - 大和小是相对而言的)
激烈	激烈	ji1lie4	intense; acute; sharp; fierce
社会流动	社會流動	she4hui4liu2dong4	social mobility
分配	分配	fen1pei4	distribute; assign; allocate
不均	不均	bu4jun1	unevenly distributed
人性化	人性化	ren2xing4hua4	humanization; personalisation (e.g. in style, design)
成	成	cheng2	finish; complete; accomplish; to turn into; to become; 10%
就业	就業	jiu4ye4	employment; obtain a job
议题	議題	yi4ti2	subject under discussion; issue
规定	規定	gui1ding4	stipulate; provide; to fix; to set; rule; regulation
管辖	管轄	guan3xia2	administer; have jurisdiction (over); exercise control (over)
挑衅	挑釁	tiao3xin4	provoke; defiance
潜在	潛在	qian2zai4	latent; potential
危险	危險	wei1xian3	danger; dangerous; perilous
强硬	強硬	qiang2ying4	hard-line; tough
撑腰打气	撐腰打氣	cheng1yao1da3qi4	back (someone) up/bolster up
罕见	罕見	han3jian4	rare; rarely seen; peculiar
表态	表態	biao3tai4	make known one's position; declare where one stands
指责	指責	zhi3ze2	to censure; criticize; find fault with
内政	內政	nei4zheng4	internal/domestic/home affairs (of a country)
粗暴	粗暴	cu1bao4	rough; cruel; wild; ruthless
层面	層面	ceng2mian4	level; dimension; layer; aspect; plane
繁忙	繁忙	fan2mang2	busy; bustling
丰富	豐富	feng1fu4	rich; enrich; abundant; plentiful
获得	獲得	huo4de2	obtain; acquire; to gain
谈判	談判	tan2pan4	negotiate; negotiation; conference
谨言慎行	謹言慎行	jin3yan2shen4xing2	cautious in speech and behaviour; to speak and act cautiously; be discreet in word and deed
建设性	建設性	jian4she4xing4	constructive
亚太	亞太	ya4tai4	AsiaーPacific
调查	調查	diao4cha2	investigation; inquiry; to investigate; to survey; survey
质疑	質疑	zhi4yi2	to be skeptical of; to call into question
防空识别区	防空識別區	fang2kong1shi2bie2qu1	Air Defense Identification Zone
坐立不安	坐立不安	zuo4li4bu4'an1	be fidgety (from nervousness, fear, etc.)
军事	軍事	jun1shi4	military affairs; military matters
主宰地位	主宰地位	zhu3zai3di4wei4	dominating position
危机	危機	wei1ji1	crisis
学业	學業	xue2ye4	schoolwork; studies
压力	壓力	ya1li4	pressure; stress
急躁	急躁	ji2zao4	irritable; impetuous; impatient
焦虑	焦慮	jiao1lv4	to feel anxious; to have worries and misgivings; to feel apprehensive
